gene_id,name,type,kegg,pfam,ec_number,description,category,super_class,family,organism
NtG_00203,sesquiphellandrene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,sesquiphellandrene_synthase - enzyme for β-Sesquiphellandrene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00204,zingiberene_dehydrogenase,gene,,PF00498;PF08640,EC 1.3.-.-,zingiberene_dehydrogenase - enzyme for ar-Curcumene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00205,valencene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,valencene_synthase - enzyme for Valencene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00206,valencene_oxidase,gene,,,EC 1.14.-.-,valencene_oxidase - enzyme for Nootkatone biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00207,cadinol_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,cadinol_synthase - enzyme for Cadinol biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00208,δ-cadinene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,δ-cadinene_synthase - enzyme for δ-Cadinene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00209,γ-cadinene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,γ-cadinene_synthase - enzyme for γ-Cadinene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00210,germacrene_D_synthase,gene,K22057,PF00288;PF00155,EC 4.2.3.77; EC 2.5.1.10,germacrene_D_synthase - enzyme for Germacrene D biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00211,germacrene_A_synthase,gene,K14179,PF00288;PF00155,EC 4.2.3.23; EC 2.5.1.10,germacrene_A_synthase - enzyme for Germacrene A biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00212,germacrene_B_synthase,gene,K15801,PF00288;PF00155,EC 4.2.3.71; EC 2.5.1.10,germacrene_B_synthase - enzyme for Germacrene B biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00213,germacrene_rearrangement,gene,,,EC 5.3.-.-,germacrene_rearrangement - enzyme for β-Elemene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00214,patchoulol_synthase,gene,K15806,PF00288;PF00155,EC 4.2.3.76; EC 2.5.1.10,patchoulol_synthase - enzyme for Patchoulol biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00215,patchoulene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,patchoulene_synthase - enzyme for Patchoulene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00216,cedrol_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,cedrol_synthase - enzyme for Cedrol biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00217,cedrene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,cedrene_synthase - enzyme for α-Cedrene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00218,cedrene_isomerase,gene,,PF00154;PF01266,EC 5.3.-.-,cedrene_isomerase - enzyme for β-Cedrene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00219,thujopsene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,thujopsene_synthase - enzyme for Thujopsene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00220,widdrol_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,widdrol_synthase - enzyme for Widdrol biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00221,longifolene_synthase,gene,K14185,PF00288;PF00155,EC 4.2.3.58; EC 2.5.1.10,longifolene_synthase - enzyme for Longifolene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00222,longifolene_isomerase,gene,,PF00154;PF01266,EC 5.3.-.-,longifolene_isomerase - enzyme for Isolongifolene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00223,copaene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,copaene_synthase - enzyme for Copaene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00224,ylangene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,ylangene_synthase - enzyme for Ylangene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00225,cubebene_synthase,gene,K01761,PF00288;PF00155,EC 4.2.3.-; EC 2.5.1.10,cubebene_synthase - enzyme for α-Cubebene biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00226,copaene_epoxidase,gene,,,EC 1.14.-.-,copaene_epoxidase - enzyme for α-Copaene oxide biosynthesis,Terpenoid (Sesquiterpenoid oxide),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00227,vetispiradiene_synthase,gene,,PF00288;PF00155,EC 4.2.3.-; EC 1.14.-.-,vetispiradiene_synthase - enzyme for Solavetivone biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00228,vetispiradiene_hydroxylase,gene,,,EC 1.14.-.-,vetispiradiene_hydroxylase - enzyme for Capsidiol biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00229,rishitin_synthase,gene,,PF00288;PF00155,EC 4.2.3.-; EC 1.14.-.-,rishitin_synthase - enzyme for Rishitin biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00230,vetispiradiene_oxidase,gene,,,EC 1.14.-.-,vetispiradiene_oxidase - enzyme for Lubimin biosynthesis,Terpenoid (Sesquiterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00231,GGPP_cleavage_enzyme,gene,K01610,,EC 1.13.11.71,GGPP_cleavage_enzyme - enzyme for Geranylacetone biosynthesis,Terpenoid (Diterpenoid degradation product),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00232,lycopene_cleavage_dioxygenase,gene,K01610,PF04140;PF03171,EC 1.13.11.71,lycopene_cleavage_dioxygenase - enzyme for 6-Methyl-5-hepten-2-one (MHO) biosynthesis,Terpenoid (Diterpenoid degradation product),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00233,MHO_reductase,gene,K00001,,EC 1.1.1.1,MHO_reductase - enzyme for 6-Methyl-5-hepten-2-ol biosynthesis,Terpenoid (Diterpenoid degradation product),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00234,geranylacetone_epoxidase,gene,,,EC 1.14.-.-,geranylacetone_epoxidase - enzyme for Geranylacetone epoxide biosynthesis,Terpenoid (Diterpenoid degradation product),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00235,MHO_dehydrogenase,gene,,PF00498;PF08640,EC 1.3.-.-,"MHO_dehydrogenase - enzyme for 6-Methyl-3,5-heptadien-2-one biosynthesis",Terpenoid (Diterpenoid degradation product),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00236,phytol_β-oxidation_pathway,gene,,,EC 1.1.1.-; EC 1.3.-.-,"phytol_β-oxidation_pathway - enzyme for Phytone (6,10,14-Trimethyl-2-pentadecanone) biosynthesis",Terpenoid (Diterpenoid degradation product),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00237,phytol_dehydratase,gene,,,EC 4.2.1.-,phytol_dehydratase - enzyme for Phytadiene biosynthesis,Terpenoid (Diterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00238,phytol_decarboxylase,gene,,PF00184;PF02784,EC 4.1.1.-; EC 1.3.-.-,phytol_decarboxylase - enzyme for Pristane biosynthesis,Terpenoid (Diterpenoid degradation product),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00239,phytol_oxidase,gene,K00107,,EC 1.14.-.-; EC 1.2.1.3,phytol_oxidase - enzyme for Phytanic acid biosynthesis,Terpenoid (Diterpenoid degradation product),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00240,ALDH,gene,K00107,,EC 1.14.-.-; EC 1.2.1.3,ALDH - enzyme for Phytanic acid biosynthesis,Terpenoid (Diterpenoid degradation product),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00241,squalene_synthase,gene,K00801,PF00288;PF00155,EC 2.5.1.21; EC 2.5.1.10,squalene_synthase - enzyme for Squalene biosynthesis,Terpenoid (Triterpenoid),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00242,squalene_epoxidase,gene,K08242,,EC 1.14.13.132; EC 5.4.99.-; EC 2.1.1.143,squalene_epoxidase - enzyme for β-Sitosterol biosynthesis,Terpenoid (Phytosterol),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00243,oxidosqualene_cyclase,gene,K08242,,EC 1.14.13.132; EC 5.4.99.-; EC 2.1.1.143,oxidosqualene_cyclase - enzyme for β-Sitosterol biosynthesis,Terpenoid (Phytosterol),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00244,C-24_methyltransferase,gene,K08242,PF00501;PF00583,EC 1.14.13.132; EC 5.4.99.-; EC 2.1.1.143,C-24_methyltransferase - enzyme for β-Sitosterol biosynthesis,Terpenoid (Phytosterol),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00245,C-22_desaturase,gene,,,EC 1.14.-.-,C-22_desaturase - enzyme for Stigmasterol biosynthesis,Terpenoid (Phytosterol),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00246,C-24_demethylase,gene,,,EC 1.14.-.-,C-24_demethylase - enzyme for Cholesterol biosynthesis,Terpenoid (Sterol),Terpenoid,Terpenoid,Nicotiana tabacum
NtG_00247,esterase,gene,K00664,PF00561;PF00756,EC 2.3.1.84; EC 3.1.1.1,esterase - enzyme for Ethyl acetate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00248,alcohol_acyltransferase,gene,K00664,PF00501;PF00583,EC 2.3.1.84; EC 2.3.1.-,alcohol_acyltransferase - enzyme for Ethyl butyrate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00249,butyryl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,butyryl-CoA_pathway - enzyme for Ethyl butyrate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00250,hexanoyl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,hexanoyl-CoA_pathway - enzyme for Ethyl hexanoate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00251,octanoyl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,octanoyl-CoA_pathway - enzyme for Ethyl octanoate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00252,decanoyl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,decanoyl-CoA_pathway - enzyme for Ethyl decanoate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00253,lauroyl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,lauroyl-CoA_pathway - enzyme for Ethyl dodecanoate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00254,myristoyl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,myristoyl-CoA_pathway - enzyme for Ethyl tetradecanoate (Ethyl myristate) biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00255,palmitoyl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,palmitoyl-CoA_pathway - enzyme for Ethyl hexadecanoate (Ethyl palmitate) biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00256,stearoyl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,stearoyl-CoA_pathway - enzyme for Ethyl octadecanoate (Ethyl stearate) biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00257,oleoyl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,oleoyl-CoA_pathway - enzyme for Ethyl oleate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00258,linoleoyl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,linoleoyl-CoA_pathway - enzyme for Ethyl linoleate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00259,lactate_ester_synthase,gene,K00664,PF00288;PF00155,EC 2.3.1.-; EC 2.3.1.84,lactate_ester_synthase - enzyme for Ethyl lactate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00260,ATF,gene,K00664,,EC 2.3.1.-; EC 2.3.1.84,ATF - enzyme for Ethyl lactate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00261,3-hydroxybutyryl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,3-hydroxybutyryl-CoA_pathway - enzyme for Ethyl 3-hydroxybutyrate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00262,2-methylbutyryl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,2-methylbutyryl-CoA_pathway - enzyme for Ethyl 2-methylbutyrate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00263,3-methylbutyryl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,3-methylbutyryl-CoA_pathway - enzyme for Ethyl 3-methylbutyrate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00264,isobutyryl-CoA_pathway,gene,K00664,,EC 2.3.1.84; EC 2.3.1.-,isobutyryl-CoA_pathway - enzyme for Ethyl 2-methylpropanoate (Ethyl isobutyrate) biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00265,pyruvate_ester_synthase,gene,,PF00288;PF00155,EC 2.3.1.-,pyruvate_ester_synthase - enzyme for Ethyl pyruvate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00266,acetoacetyl-CoA_pathway,gene,K00664,,EC 2.3.1.-; EC 2.3.1.84,acetoacetyl-CoA_pathway - enzyme for Ethyl acetoacetate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00267,leucine_pathway,gene,K00664,,EC 2.3.1.84; EC 2.6.1.-,leucine_pathway - enzyme for Isoamyl acetate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00268,valine_pathway,gene,K00664,,EC 2.3.1.84; EC 2.6.1.-,valine_pathway - enzyme for Isobutyl acetate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00269,hexanol_pathway,gene,K00664,,EC 2.3.1.84; EC 1.1.1.1,hexanol_pathway - enzyme for Hexyl acetate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00270,benzoate_O-methyltransferase,gene,,PF00501;PF00583,EC 2.1.1.-; EC 2.3.1.-,benzoate_O-methyltransferase - enzyme for Methyl benzoate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00271,benzoate_ester_synthase,gene,,PF00288;PF00155,EC 2.1.1.-; EC 2.3.1.-,benzoate_ester_synthase - enzyme for Methyl benzoate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00272,anthranilate_O-methyltransferase,gene,,PF00501;PF00583,EC 2.1.1.-,anthranilate_O-methyltransferase - enzyme for Methyl anthranilate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00273,anthranilate_ester_synthase,gene,,PF00288;PF00155,EC 2.3.1.-,anthranilate_ester_synthase - enzyme for Ethyl anthranilate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00274,nicotinate_O-methyltransferase,gene,,PF00501;PF00583,EC 2.1.1.-,nicotinate_O-methyltransferase - enzyme for Methyl nicotinate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00275,nicotinate_ester_synthase,gene,,PF00288;PF00155,EC 2.3.1.-,nicotinate_ester_synthase - enzyme for Ethyl nicotinate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00276,furoate_O-methyltransferase,gene,,PF00501;PF00583,EC 2.1.1.-,furoate_O-methyltransferase - enzyme for Methyl 2-furoate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00277,furoate_ester_synthase,gene,,PF00288;PF00155,EC 2.3.1.-,furoate_ester_synthase - enzyme for Ethyl 2-furoate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00278,phenylpropanoate_ester_synthase,gene,,PF00288;PF00155,EC 2.3.1.-,phenylpropanoate_ester_synthase - enzyme for Ethyl 3-phenylpropanoate (Ethyl hydrocinnamate) biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00279,jasmonate_O-methyltransferase,gene,,PF00501;PF00583,EC 2.1.1.-,jasmonate_O-methyltransferase - enzyme for Methyl jasmonate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00280,jasmonate_reductase,gene,,,EC 1.3.1.-; EC 2.1.1.-,jasmonate_reductase - enzyme for Methyl dihydrojasmonate (Hedione) biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00281,JMT,gene,,,EC 1.3.1.-; EC 2.1.1.-,JMT - enzyme for Methyl dihydrojasmonate (Hedione) biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00282,phthalate_O-methyltransferase,gene,,PF00501;PF00583,EC 2.1.1.-,phthalate_O-methyltransferase - enzyme for Dimethyl phthalate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00283,phthalate_ester_synthase,gene,,PF00288;PF00155,EC 2.3.1.-,phthalate_ester_synthase - enzyme for Diethyl phthalate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00284,salicylate_ester_synthase,gene,,PF00288;PF00155,EC 2.3.1.-,salicylate_ester_synthase - enzyme for Ethyl 2-hydroxybenzoate (Ethyl salicylate) biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00285,methionine_pathway,gene,K00664,,EC 2.3.1.84,methionine_pathway - enzyme for Ethyl 3-(methylthio)propanoate biosynthesis,Ester,Ester,Ester,Nicotiana tabacum
NtG_00286,thioester_synthase,gene,,PF00288;PF00155,EC 2.3.1.-,thioester_synthase - enzyme for S-Methyl thioacetate biosynthesis,Ester (Thioester),Ester,Ester,Nicotiana tabacum
NtG_00287,methanethiol_pathway,gene,,,EC 2.3.1.-,methanethiol_pathway - enzyme for S-Methyl thioacetate biosynthesis,Ester (Thioester),Ester,Ester,Nicotiana tabacum
NtG_00288,acetaldehyde_dehydrogenase,gene,K00107,PF00498;PF08640,EC 1.2.1.3; EC 4.1.1.1,acetaldehyde_dehydrogenase - enzyme for Acetic acid biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00289,pyruvate_decarboxylase,gene,K00107,PF00184;PF02784,EC 1.2.1.3; EC 4.1.1.1,pyruvate_decarboxylase - enzyme for Acetic acid biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00290,propionyl-CoA_pathway,gene,K01754,,EC 2.6.1.-; EC 4.3.1.19,propionyl-CoA_pathway - enzyme for Propanoic acid (Propionic acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00291,threonine_deaminase,gene,K01754,,EC 2.6.1.-; EC 4.3.1.19,threonine_deaminase - enzyme for Propanoic acid (Propionic acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00292,butyraldehyde_dehydrogenase,gene,,PF00498;PF08640,EC 1.2.1.-; EC 6.2.1.-,butyraldehyde_dehydrogenase - enzyme for Butyric acid (Butanoic acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00293,pentanoyl-CoA_pathway,gene,,,EC 1.2.1.-; EC 6.2.1.-,pentanoyl-CoA_pathway - enzyme for Pentanoic acid (Valeric acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00294,lysine_pathway,gene,,,EC 1.2.1.-; EC 6.2.1.-,lysine_pathway - enzyme for Pentanoic acid (Valeric acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00295,isovaleryl-CoA_pathway,gene,,,EC 2.6.1.-; EC 1.2.1.-,isovaleryl-CoA_pathway - enzyme for 3-Methylbutyric acid (Isovaleric acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00296,fatty_acid_synthase,gene,,PF00288;PF00155,EC 2.3.1.-; EC 3.1.2.-,fatty_acid_synthase - enzyme for Hexanoic acid (Caproic acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00297,thioesterase,gene,,PF00561;PF00756,EC 2.3.1.-; EC 3.1.2.-,thioesterase - enzyme for Hexanoic acid (Caproic acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00298,heptanoyl-CoA_pathway,gene,,,EC 2.3.1.-; EC 3.1.2.-,heptanoyl-CoA_pathway - enzyme for Heptanoic acid (Enanthic acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00299,FAS,gene,,,EC 2.3.1.-; EC 3.1.2.-,FAS - enzyme for Heptanoic acid (Enanthic acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00300,nonanoyl-CoA_pathway,gene,,,EC 2.3.1.-; EC 3.1.2.-,nonanoyl-CoA_pathway - enzyme for Nonanoic acid (Pelargonic acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00301,undecanoyl-CoA_pathway,gene,,,EC 2.3.1.-; EC 3.1.2.-,undecanoyl-CoA_pathway - enzyme for Undecanoic acid biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00302,stearoyl-CoA_desaturase,gene,K00507,,EC 1.14.19.1; EC 3.1.2.-,stearoyl-CoA_desaturase - enzyme for Oleic acid biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00303,oleoyl-CoA_desaturase,gene,,,EC 1.14.19.-; EC 3.1.2.-,oleoyl-CoA_desaturase - enzyme for Linoleic acid biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00304,linoleoyl-CoA_desaturase,gene,,,EC 1.14.19.-; EC 3.1.2.-,linoleoyl-CoA_desaturase - enzyme for Linolenic acid (α-Linolenic acid) biosynthesis,Acid (Fatty acid),Acid,Acid,Nicotiana tabacum
NtG_00305,benzaldehyde_dehydrogenase,gene,,PF00498;PF08640,EC 1.2.1.-; EC 4.3.1.5,benzaldehyde_dehydrogenase - enzyme for Benzoic acid biosynthesis,Acid (Aromatic acid),Acid,Acid,Nicotiana tabacum
NtG_00306,phenylalanine_pathway,gene,,,EC 1.2.1.-; EC 4.3.1.5,phenylalanine_pathway - enzyme for Benzoic acid biosynthesis,Acid (Aromatic acid),Acid,Acid,Nicotiana tabacum
NtG_00307,isochorismate_synthase,gene,K01851,PF00288;PF00155,EC 5.4.4.2; EC 4.1.99.-,isochorismate_synthase - enzyme for Salicylic acid biosynthesis,Acid (Aromatic acid),Acid,Acid,Nicotiana tabacum
NtG_00308,isochorismate_pyruvate_lyase,gene,K01851,PF00274;PF00682,EC 5.4.4.2; EC 4.1.99.-,isochorismate_pyruvate_lyase - enzyme for Salicylic acid biosynthesis,Acid (Aromatic acid),Acid,Acid,Nicotiana tabacum
NtG_00309,salicylate_5-hydroxylase,gene,,,EC 1.14.13.-,"salicylate_5-hydroxylase - enzyme for Gentisic acid (2,5-Dihydroxybenzoic acid) biosynthesis",Acid (Aromatic acid),Acid,Acid,Nicotiana tabacum
NtG_00310,protocatechuate_5-hydroxylase,gene,,,EC 1.14.-.-; EC 4.2.3.-,protocatechuate_5-hydroxylase - enzyme for Gallic acid biosynthesis,Acid (Aromatic acid),Acid,Acid,Nicotiana tabacum
NtG_00311,shikimate_pathway,gene,,,EC 1.14.-.-; EC 4.2.3.-,shikimate_pathway - enzyme for Gallic acid biosynthesis,Acid (Aromatic acid),Acid,Acid,Nicotiana tabacum
NtG_00312,pyruvate_kinase,gene,K00890,PF00069;PF00671,EC 2.7.1.40; EC 1.1.1.28,pyruvate_kinase - enzyme for Pyruvic acid biosynthesis,Acid (Keto acid),Acid,Acid,Nicotiana tabacum
NtG_00313,lactate_dehydrogenase,gene,K00890,PF00498;PF08640,EC 2.7.1.40; EC 1.1.1.28,lactate_dehydrogenase - enzyme for Pyruvic acid biosynthesis,Acid (Keto acid),Acid,Acid,Nicotiana tabacum
NtG_00314,3-hydroxybutyryl-CoA_dehydrogenase,gene,K00074,PF00498;PF08640,EC 1.1.1.157; EC 3.1.2.-,3-hydroxybutyryl-CoA_dehydrogenase - enzyme for 3-Hydroxybutyric acid biosynthesis,Acid (Hydroxy acid),Acid,Acid,Nicotiana tabacum
NtG_00315,succinate_dehydrogenase,gene,K00243,PF00498;PF08640,EC 1.3.5.1; EC 4.2.1.2,succinate_dehydrogenase - enzyme for Succinic acid biosynthesis,Acid (Dicarboxylic acid),Acid,Acid,Nicotiana tabacum
NtG_00316,fumarase,gene,K00243,,EC 1.3.5.1; EC 4.2.1.2,fumarase - enzyme for Succinic acid biosynthesis,Acid (Dicarboxylic acid),Acid,Acid,Nicotiana tabacum
NtG_00317,malate_dehydrogenase,gene,K00024,PF00498;PF08640,EC 1.1.1.37; EC 4.2.1.2,malate_dehydrogenase - enzyme for Malic acid biosynthesis,Acid (Hydroxy dicarboxylic acid),Acid,Acid,Nicotiana tabacum
NtG_00318,citrate_synthase,gene,K01647,PF00288;PF00155,EC 2.3.3.1; EC 2.3.3.8,citrate_synthase - enzyme for Citric acid biosynthesis,Acid (Hydroxy tricarboxylic acid),Acid,Acid,Nicotiana tabacum
NtG_00319,ATP-citrate_lyase,gene,K01647,PF00274;PF00682,EC 2.3.3.1; EC 2.3.3.8,ATP-citrate_lyase - enzyme for Citric acid biosynthesis,Acid (Hydroxy tricarboxylic acid),Acid,Acid,Nicotiana tabacum
NtG_00320,aconitase,gene,K01695,,EC 4.2.1.3; EC 1.1.1.42,aconitase - enzyme for Isocitric acid biosynthesis,Acid (Hydroxy tricarboxylic acid),Acid,Acid,Nicotiana tabacum
NtG_00321,isocitrate_dehydrogenase,gene,K01695,PF00498;PF08640,EC 4.2.1.3; EC 1.1.1.42,isocitrate_dehydrogenase - enzyme for Isocitric acid biosynthesis,Acid (Hydroxy tricarboxylic acid),Acid,Acid,Nicotiana tabacum
